mean,std,10th,90th
0.026004991466202925,0.01954423266445207,0.00983333333333336,0.05366666666666664
0.020585858585858575,0.019385659669588207,0.00216666666666665,0.044499999999999984
0.02076630971730886,0.020686580400406083,0.005500000000000005,0.03683333333333333
0.02357849060222478,0.034933596699076745,0.008000000000000007,0.03433333333333333
0.0208240231719572,0.021915190347970934,0.0036666666666666514,0.03866666666666668
0.0240950023573786,0.022279497153462,0.00983333333333336,0.052166666666666694
0.028999383368569408,0.029009175195590535,0.00216666666666665,0.06566666666666665
0.023971660756501187,0.02523824597646287,0.005500000000000005,0.057999999999999996
0.037246685439399276,0.02792452136822215,0.008000000000000007,0.07150000000000001
0.03205406373075542,0.0268210831390434,0.0003333333333332966,0.0638333333333333
0.02101016760431317,0.02383124995310311,0.006166666666666654,0.03616666666666668
0.01667621894045945,0.016060157148032928,0.009166666666666656,0.03316666666666668
0.062297169811320746,0.027832292095891133,0.02683333333333332,0.10091666666666665
0.05234663519184653,0.030544154632895275,0.009500000000000008,0.09416666666666668
0.04261882941212232,0.024888115589070794,0.013333333333333336,0.07683333333333334
0.029975021765889103,0.023943095193870077,0.00658333333333333,0.0595
0.02937630870249335,0.019919179577804175,0.010416666666666685,0.05275000000000002
0.022807750550660786,0.017861237775498053,0.0036666666666666514,0.045999999999999985
0.02563906926406925,0.019799249103662382,0.0007499999999999729,0.05366666666666664
0.02767334814814814,0.02676095065667816,0.00216666666666665,0.05508333333333332
0.021338941158900837,0.022436299746951327,0.005083333333333329,0.04741666666666666
0.2986525706084371,0.26810875554014624,0.10216666666666668,0.7583333333333333
0.5378530561478323,0.6546571005062813,0.09450000000000003,1.682
0.39099186930091184,0.4581063384162171,0.08683333333333332,1.2933333333333334
0.517500943203834,0.6527317187720382,0.07916666666666666,1.7936666666666665
0.4685852272727273,0.5772259777194542,0.07916666666666666,1.3491666666666666
0.34310671317359215,0.43962112216648913,0.05033333333333334,1.1933333333333334
0.25188685453084186,0.2814706535419445,0.04266666666666663,0.7411666666666665
0.131166615737204,0.09588151145568342,0.0561666666666667,0.33133333333333337
0.24564331404203468,0.3012491018978754,0.03316666666666668,0.774
0.3101339376992002,0.41246894155493063,0.09450000000000003,1.0470000000000002
0.29417875161328166,0.46437231857712685,0.06566666666666665,1.0816666666666666
0.17136521331458038,0.204556783322805,0.07916666666666666,0.48133333333333334
0.18292738558622318,0.21842157608680046,0.07150000000000001,0.5794999999999999
