mean,std,10th,90th
0.045787940379403806,0.025569181204282334,0.017500000000000016,0.08100000000000002
0.05415676917638744,0.021425943617235297,0.031000000000000028,0.07333333333333336
0.059930584981167594,0.026066571753826928,0.023333333333333317,0.08683333333333332
0.05245466290815128,0.029475042827795873,0.015666666666666662,0.07916666666666666
0.06183089617101246,0.035421375882960335,0.029166666666666674,0.09266666666666667
0.03828817979371773,0.03141842109158216,0.0003333333333332966,0.0638333333333333
0.057941953820909546,0.036139278683713146,0.013833333333333364,0.09850000000000003
0.0347571495546179,0.02567796783583416,0.006166666666666654,0.06966666666666665
0.03064741094597786,0.03270503833804333,0.0014999999999999458,0.062000000000000055
0.02694966188644049,0.03432162296545882,0.009166666666666656,0.054333333333333345
0.02925076183778716,0.055459213399405245,0.0043333333333333,0.038000000000000034
0.03338539835111163,0.020337499243391583,0.008583333333333332,0.0615
0.034676450711839966,0.020757137678462552,0.008750000000000008,0.06533333333333333
0.019130667562724014,0.014759896434233616,0.00491666666666668,0.037416666666666654
0.020360030864197527,0.016631786176439393,0.001083333333333325,0.04341666666666666
0.02248052232493505,0.01780638862630184,0.0027500000000000024,0.050166666666666665
0.03552179904219752,0.022127244772210057,0.00658333333333333,0.0675
0.03714612221621944,0.01963376778397136,0.010749999999999982,0.06366666666666665
0.04632444333665671,0.023782215707324684,0.017500000000000016,0.07041666666666668
0.03524482046251711,0.01919388457555542,0.00983333333333336,0.06275000000000003
0.04800728585149167,0.026746952257502468,0.012749999999999984,0.07624999999999998
0.05713563910001204,0.027475663304468424,0.026249999999999996,0.08974999999999994
0.42572200152788386,0.5885474518212992,0.03866666666666668,1.3933333333333333
0.4196512800819252,0.647749459009176,0.00983333333333336,1.5973333333333333
0.5029288766788768,0.7392790912419137,0.023333333333333317,1.8860000000000001
0.2926053482964311,0.4338428345435689,0.015666666666666662,1.1798333333333333
0.20488618384116777,0.2596080466173086,0.029166666666666674,0.6218333333333332
0.3600723647588684,0.5116334600542453,0.021499999999999964,1.3338333333333332
0.3178299535916062,0.4827133945408807,0.03500000000000003,1.3896666666666668
0.14822976566812182,0.16943157698786965,0.02733333333333332,0.4718333333333332
0.22863483709273183,0.29184603701446243,0.03316666666666668,0.8163333333333334
0.231353724042732,0.3207380218228818,0.05399999999999999,0.9430000000000001
0.289069414703783,0.4896911821665234,0.04633333333333334,1.3163333333333334
0.3120013859084406,0.5712722520198927,0.03866666666666668,1.3086666666666666
